position;company;reviews;clean_position;city;state;python;statistics;mathematics;java;sql;excel;modeling;c++;r;visualization;ml;ai;has_phd;has_bachelor;has_master;;;;;
Managers; Statistical Analyst;Vanda Pharmaceuticals Inc.;0;data analyst;Washington;DC;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;;;;
Strategy and Research Data Scientist;FREEDOM CONSULTING GROUP;3;data scientist;Washington;DC;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;;;;;
Data Scientist (Must have active Top Secret);OneGlobe, LLC;0;data scientist;Washington;DC;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;
Data Scientist; Senior;Booz Allen Hamilton;1655;data scientist;Washington;DC;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;;;;
Data Scientist- Clearance Required;Akima, LLC;207;data scientist;Washington;DC;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
ASSOCIATE DATA ENGINEER;BlueLabs Analytics;0;data engineer;Washington;DC;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
Data Science Fellow;Øptimus Consulting;0;data scientist;Washington;DC;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;;
Research Analyst;Service Employees International Union;2;data analyst;Washington;DC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
Sr. Statistical Data Analyst;ANALYTICA;7;data analyst;Washington;DC;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
Data Scientist - Human Services;Mathematica Policy Research;68;data scientist;Washington;DC;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;;;;;
Physical Scientist;Department of Energy;168;data scientist;Washington;DC;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;;;;;
Student Research Collaboration;Google;2474;other role;Washington;DC;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;;;;;
OUTREACH DATA ANALYST;BlueLabs Analytics;0;data analyst;Washington;DC;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
Data Scientist – Senior Associate;Guidehouse;0;data scientist;Washington;DC;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;
Data Scientist;Jacobs;2380;data scientist;Washington;DC;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;;;;;
Data Scientist - TS/SCI Required;Talent Savant;0;data scientist;Washington;DC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
Senior Data Scientist;Harnham;0;data scientist;Washington;DC;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;;;;;
DATA ANALYST;BlueLabs Analytics;0;data analyst;Washington;DC;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;;
Assistant Inspector General for Investigations;U.S. Federal Government;484;other role;Washington;DC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
Sr. Data Scientist;HighPoint;14;data scientist;Washington;DC;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;;;;;
Research Analyst;Atlantic Media;19;data analyst;Washington;DC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
Research Data Analyst;JLL;1787;data analyst;Washington;DC;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;
Scientist - Multiple levels;Noblis;32;data scientist;Washington;DC;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;;;;;
Mid-Level Data Scientist - Senior Associate;Guidehouse;0;data scientist;Washington;DC;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;
Statistical Analyst;Walker Medical Solutions;0;data analyst;Washington;DC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
Senior Applied Data Scientist; Government;Civis Analytics;0;data scientist;Washington;DC;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;;;;
Jr. Research Analyst;National Geographic;53;data analyst;Washington;DC;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;
Data Engineer;Gallup;140;data engineer;Washington;DC;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;;;;;
CI and Insider Threat Data and Trend Analysis Specialist;Centra Technology;7;other role;Washington;DC;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
Data Analysis Manager;E.L. Haynes Public Charter School;9;other role;Washington;DC;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;
Research Analyst;Bloomberg BNA;55;data analyst;Washington;DC;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;
DATA SCIENTIST/LEAD DATA SCIENTIST;BlueLabs Analytics;0;data scientist;Washington;DC;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;;
Data Scientist with Top Secret;OneGlobe;0;data scientist;Washington;DC;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
Computer Scientist at NAS PAX River;SOLUTE;2;data scientist;Washington;DC;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
Data Visualization Specialist;ICF;392;other role;Washington;DC;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;;;;;
Implementation Scientist;Atlas Research;8;data scientist;Washington;DC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;;;;;
Data and Policy Analyst - Statistical Programmer;Acumen LLC;13;data analyst;Washington;DC;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;;;;;
Operations Research Analyst;Advanced Sciences and Technologies (AS&T);0;data analyst;Washington;DC;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;;;;;
Epidemiologist;Centers for Disease Control and Prevention;350;other role;Washington;DC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;
Junior Management Analyst;Missing Link Security;4;data analyst;Washington;DC;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
Jr. Research Associate II;Rescue Agency;0;other role;Washington;DC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;;;;;
Business Analyst- Mid Level;TechnoGen Inc;0;data analyst;Washington;DC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
Research Analyst;Delmock Technologies Inc.;0;data analyst;Washington;DC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;
OPERATIONS RESEARCH ANALYST;Department of Homeland Security;2431;data analyst;Washington;DC;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;
Research Analyst - Corporate Reputation Research;Ipsos North America;333;data analyst;Washington;DC;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;
Data Engineer;GreenZone Solutions, Inc.;0;data engineer;Washington;DC;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
Data Warehouse Spec II;Chenega Corporation;390;other role;Washington;DC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
GIS Scientist;The Cadmus Group, Inc.;0;data scientist;Washington;DC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;;;;;
Director; Data Scientist;KPMG;4494;data scientist;Washington;DC;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;;;;
SAS Programer;Salient CRGT;39;other role;Washington;DC;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;
Research Analyst;LS Technologies, LLC;15;data analyst;Washington;DC;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;
Senior Statistical Analyst;Arch;34;data analyst;Washington;DC;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;;;;;
Behavioral Scientist (Seoul; Korea);Celestar Corporation;15;data scientist;Washington;DC;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;;;
Quantitative GMC/Data Strategist; Mid;Booz Allen Hamilton;1655;other role;Washington;DC;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;;;;
Earth Sciences Community Applications Support Scientist;ASRC Federal Holding Company;78;data scientist;Washington;DC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
Research and Data Analyst;Association of American Medical Colleges;60;data analyst;Washington;DC;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;;;;;
Data Analytics Specialist; Mid;Booz Allen Hamilton;1655;other role;Washington;DC;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;;;;
Technology Lead/Data Scientist;SkillDemand;0;data scientist;Washington;DC;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;;;;;
Research Analyst/Associate;Center for the Study of Services;0;data analyst;Washington;DC;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;;;;;
Manager; Data Scientist;KPMG;4494;data scientist;Washington;DC;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;;;;
LNG Research Analyst;IHS Markit;216;data analyst;Washington;DC;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;;;;;
Data Scientist/Engineer (Active CBP BI/Clearance);Workbridge Associates;40;data scientist;Washington;DC;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
International Research Analyst;Mathematica Policy Research;68;data analyst;Washington;DC;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;;;;;
Research Analyst;Unisys;1838;data analyst;Washington;DC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;
Research Analyst (Diversity);AccessLex Institute;2;data analyst;Washington;DC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;;;;;
Market Research Analyst;Penn Schoen Berland;2;data analyst;Washington;DC;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;
Research Scientist;N C Q A;0;data scientist;Washington;DC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
Analytic Methodologist;Central Intelligence Agency;151;other role;Washington;DC;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
Data/Research Analyst; Senior Associate;Opportunity Finance Network;4;data analyst;Washington;DC;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;;;;
Transportation Planner;Parsons;451;other role;Washington;DC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;;;;;
Research Analyst;Feeding America;52;data analyst;Washington;DC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;;;;;
Research Analyst;FrameWorks Institute;0;data analyst;Washington;DC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;;;;;
IPA Assignment-Knowledge Management Consultant/Library Scientist;PARTNERSHIP for PUBLIC SERVICE;7;data scientist;Washington;DC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;
Research Analyst (Justice Policy Center);The Urban Institute;15;data analyst;Washington;DC;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;;;;;
Online Content Research & Policy Analyst;Federation for American Immigration Reform (Fair);0;data analyst;Washington;DC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;
Operational Research Analyst - Data Collection ADO;Leidos;525;data analyst;Washington;DC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;
ESG Research Analyst;Eaton Vance;28;data analyst;Washington;DC;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;;;;;
Finance & Operations Associate;Heart Rhythm Society (HRS);0;other role;Washington;DC;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;
Research Analyst;Centra Technology;7;data analyst;Washington;DC;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
Open Source Tradecraft Consultant/Analyst Liaison;Wittenberg Weiner Consulting LLC;0;data analyst;Washington;DC;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;;;;;
Manager; Data Scientist (AI/NLP);KPMG;4494;data scientist;Washington;DC;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;;;;
UX/UI Designer;MindRight;0;other role;Washington;DC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
R&D Scientist/Engineer;ARiA;32;data scientist;Washington;DC;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;;;;;
Toxicologist;Environmental Working Group;0;other role;Washington;DC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;;;;
Research Analyst;LEWIS;65;data analyst;Washington;DC;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;
Research Analyst/Evaluator;Advanced Decision Vectors, LLC;7;data analyst;Washington;DC;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
Market Research Analyst (Corporate and Political);Benenson Strategy Group;0;data analyst;Washington;DC;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;
Statistician;Mathematica Policy Research;68;other role;Washington;DC;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;;;;;
Editorial Specialist (Health Policy);The Urban Institute;15;other role;Washington;DC;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;
Intelligence Research Analyst;Summit Technologies, Inc.;25;data analyst;Washington;DC;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;
Research Analyst III;Legal Services Corporation;4;data analyst;Washington;DC;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;;;;;
Jr Operations Research Analyst; #3177;LinQuest Corporation;28;data analyst;Washington;DC;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;
Data Analytics Specialist; Senior;Booz Allen Hamilton;1655;other role;Washington;DC;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;;;;
Senior Data Scientist - Manager;Guidehouse;0;data scientist;Washington;DC;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;
Director; NLP Data Scientist;KPMG;4494;data scientist;Washington;DC;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;;;;
Supply Chain Data Science Consultant;Accenture;14200;data scientist;Washington;DC;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;;;;;
Operations Research Analyst;Washington Metropolitan Area Transit Authority;154;data analyst;Washington;DC;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;;;;;
Research Engineer/Scientist;Acima Spirits;0;data scientist;Washington;DC;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;;
Data Engineer;Novetta;24;data engineer;Washington;DC;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
Technologist ; Open Internet DevOps;New America;0;other role;Washington;DC;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;
Senior Research Analyst;Newmark Knight Frank;114;data analyst;Washington;DC;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;
Senior Associate; Data Scientist (NLP/AI);KPMG;4494;data scientist;Washington;DC;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;;;;
Market Research Analyst - Analyst Development Program;Ipsos North America;333;data analyst;Washington;DC;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;
Data Scientist – Data Quality and Fraud Analytics;ERPi;2;data scientist;Washington;DC;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;;;;;
Ukrainian Research Analyst;Novetta;24;data analyst;Washington;DC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;
Talent Pool Internship - Fall;American Geophysical Union;12;other role;Washington;DC;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;;;;;
Environmental Modeler;Exponent;28;other role;Washington;DC;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
Research Analyst I;The Catholic University of America;95;data analyst;Washington;DC;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;;;;;
Azerbaijani Research Analyst;Novetta;24;data analyst;Washington;DC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;
Top Secret Clearnace - Engineer (Hardware / Software);GQR;2;other role;Washington;DC;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
Independent Consultant - Government Solution Architect;xentity corporation;2;other role;Washington;DC;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;;;;;
Machine Learning- RPA SME;ERPi;2;other role;Washington;DC;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;;;;;
Senior Programmer Analyst; Research;The Urban Institute;15;data analyst;Washington;DC;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;;;;
System Engineer;Jacobs;2380;other role;Washington;DC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
SOC Analyst Tier II;Jacobs;2380;data analyst;Washington;DC;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;
Operations Research Analyst; Senior - Secret (SAF/AQH-Acquisition Career Mngmt);OBXtek;12;data analyst;Washington;DC;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;;;;
DEVOPS ENGINEER;BlueLabs Analytics;0;other role;Washington;DC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
Solutions Architect - App Transformation (Federal);Pivotal Software;16;other role;Washington;DC;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
Transportation Engineer -- CIVIL;Precision Systems, Inc.;9;other role;Washington;DC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
Security Engineer;Jacobs;2380;other role;Washington;DC;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;
