position;company;reviews;clean_position;city;state;python;statistics;mathematics;java;sql;excel;modeling;c++;r;visualization;ml;ai;has_phd;has_bachelor;has_master;;;;;
Data Scientist 1 – AP Forensics Team;The Home Depot;0;data scientist;Atlanta;GA;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;;;;;
Data Scientist - ICL;Georgia Tech Research Institute;496;data scientist;Atlanta;GA;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;;;;;
Data Scientist; Online;The Home Depot;38844;data scientist;Atlanta;GA;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;;;;
Data Scientist - CONSULTANT Level - ORLANDO FLORIDA - We will help Relocate;Capgemini;5720;data scientist;Atlanta;GA;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;;;;;
Senior Data Scientist;Catalina Marketing;78;data scientist;Atlanta;GA;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;;;;;
Business Intelligence Data Scientist - Supply Chain;Newell Brands;912;data scientist;Atlanta;GA;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
Entry Level/Junior-Level Scientist;Kleinfelder, Inc.;92;data scientist;Atlanta;GA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;;;;;
Scientist - Data Analysis;AMERICAN CANCER SOCIETY;959;data scientist;Atlanta;GA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;;;;;
Data Scientist;SalesLoft;7;data scientist;Atlanta;GA;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;;;;;
Data Scientist;McKesson;3558;data scientist;Atlanta;GA;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
Data Scientist;The Intersect Group;29;data scientist;Atlanta;GA;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;;;;;
Health Scientist;Centers for Disease Control and Prevention;350;data scientist;Atlanta;GA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;
Data Scientist;OM Partners;0;data scientist;Atlanta;GA;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;;
DATA SCIENTIST - SPACE OPTIMIZATION;The Home Depot;38844;data scientist;Atlanta;GA;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;;;;;
Data Science Specialist - Periscope; New Ventures;McKinsey & Company;385;data scientist;Atlanta;GA;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;;;
Senior Data Scientist;Cotiviti;104;data scientist;Atlanta;GA;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;;;;;
Manager - Data Scientist ! Orlando!;Capgemini;5720;data scientist;Atlanta;GA;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;;;;;
Scientist II;The Coca-Cola Company;7236;data scientist;Atlanta;GA;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;;;;;
Lead Data Scientist;Norfolk Southern Corp;722;data scientist;Atlanta;GA;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;;;;;
Senior Data Scientist;Norfolk Southern Corp;722;data scientist;Atlanta;GA;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;;;;;
Data Scientist - Consultant Level - Orlando; Florida - we will assist with relocation;Capgemini;5720;data scientist;Atlanta;GA;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;;;;
Flight Safety Data Analysis Fall Co-Op;Delta Air Lines;2963;other role;Atlanta;GA;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;;
Chief Deep Learning Scientist;YIWEI Medical Inc.;0;data scientist;Atlanta;GA;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;;;;;
