co,no,no2,o3,so2,pm2_5,pm10,nh3,date
168.56,0.31,2.53,97.28,0.77,7.46,18.8,1.12,2021-06-28 11:00:00
168.56,0.35,2.12,104.43,0.95,7.89,19.56,1.24,2021-06-28 12:00:00
171.9,0.4,2.29,114.44,1.33,8.36,20.22,1.55,2021-06-28 13:00:00
175.24,0.45,2.87,123.02,1.8,8.89,21.88,1.84,2021-06-28 14:00:00
178.58,0.52,3.64,128.75,2.24,9.27,24.67,1.93,2021-06-28 15:00:00
181.91,0.69,5.31,130.18,2.56,9.47,29.04,2.31,2021-06-28 16:00:00
190.26,0.87,7.97,125.89,2.98,9.58,34.11,2.95,2021-06-28 17:00:00
198.6,0.77,10.71,115.87,3.16,9.46,37.21,3.55,2021-06-28 18:00:00
220.3,0.37,16.97,94.41,3.87,9.85,40.7,5.0,2021-06-28 19:00:00
230.31,0.01,19.88,74.39,4.29,10.34,43.62,4.94,2021-06-28 20:00:00
211.95,0.0,15.25,68.67,2.98,10.17,42.6,2.76,2021-06-28 21:00:00
185.25,0.0,8.57,68.67,1.16,9.25,37.45,1.46,2021-06-28 22:00:00
170.23,0.0,4.88,65.8,0.35,8.32,29.68,1.2,2021-06-28 23:00:00
165.22,0.0,3.21,62.94,0.18,7.44,19.76,1.11,2021-06-29 00:00:00
163.56,0.0,3.09,55.08,0.15,6.62,12.59,1.12,2021-06-29 01:00:00
165.22,0.0,3.98,42.92,0.12,6.05,10.27,1.5,2021-06-29 02:00:00
166.89,0.0,5.4,34.69,0.13,5.62,9.26,2.09,2021-06-29 03:00:00
173.57,0.01,7.88,29.68,0.18,5.34,8.77,2.47,2021-06-29 04:00:00
193.6,0.07,14.05,26.11,0.36,5.09,8.29,2.57,2021-06-29 05:00:00
213.62,1.73,19.02,30.76,0.81,4.57,7.5,3.58,2021-06-29 06:00:00
191.93,2.1,12.51,58.65,2.18,2.57,4.8,3.99,2021-06-29 07:00:00
191.93,2.52,11.65,69.38,2.56,2.58,4.97,4.18,2021-06-29 08:00:00
191.93,1.98,9.68,82.25,2.44,3.22,6.22,3.83,2021-06-29 09:00:00
180.24,0.96,5.48,92.98,1.74,3.6,6.87,2.82,2021-06-29 10:00:00
173.57,0.6,3.9,98.71,1.52,3.84,7.0,2.47,2021-06-29 11:00:00
168.56,0.49,3.51,101.57,1.48,4.11,7.39,2.28,2021-06-29 12:00:00
168.56,0.45,3.51,101.57,1.45,4.29,8.07,2.12,2021-06-29 13:00:00
168.56,0.47,3.9,101.57,1.59,4.55,9.23,2.06,2021-06-29 14:00:00
166.89,0.44,4.2,100.14,1.74,4.56,10.01,1.85,2021-06-29 15:00:00
165.22,0.41,4.5,97.28,1.76,4.46,11.06,1.68,2021-06-29 16:00:00
165.22,0.33,4.46,94.41,1.73,4.28,11.47,1.55,2021-06-29 17:00:00
163.56,0.18,4.03,91.55,1.51,3.92,10.87,1.36,2021-06-29 18:00:00
161.89,0.04,3.26,89.41,1.15,3.59,10.17,1.14,2021-06-29 19:00:00
158.55,0.0,2.64,87.26,0.82,3.33,9.61,1.0,2021-06-29 20:00:00
156.88,0.0,2.1,85.83,0.54,3.16,9.01,0.85,2021-06-29 21:00:00
156.88,0.0,3.9,72.96,0.29,3.17,8.52,1.28,2021-06-29 22:00:00
156.88,0.0,5.66,57.22,0.18,3.26,8.33,1.74,2021-06-29 23:00:00
155.21,0.0,5.83,47.21,0.14,3.31,8.23,2.06,2021-06-30 00:00:00
151.87,0.0,5.74,42.56,0.14,3.33,8.11,2.31,2021-06-30 01:00:00
153.54,0.0,5.44,43.63,0.15,3.33,7.94,2.15,2021-06-30 02:00:00
156.88,0.0,4.97,52.93,0.2,3.35,7.84,1.92,2021-06-30 03:00:00
165.22,0.0,4.33,77.96,0.73,3.47,7.95,1.52,2021-06-30 04:00:00
173.57,0.0,7.28,75.82,1.27,3.68,8.3,2.22,2021-06-30 05:00:00
188.59,0.09,13.37,72.24,1.97,4.02,8.84,3.39,2021-06-30 06:00:00
186.92,0.31,13.88,75.82,2.35,3.85,8.06,3.23,2021-06-30 07:00:00
186.92,0.42,13.2,76.53,2.21,3.65,7.24,3.14,2021-06-30 08:00:00
186.92,0.4,12.0,77.25,1.94,3.42,6.66,2.98,2021-06-30 09:00:00
180.24,0.25,9.34,78.68,1.57,3.06,6.36,2.57,2021-06-30 10:00:00
175.24,0.13,7.37,80.82,1.37,2.97,6.73,2.28,2021-06-30 11:00:00
171.9,0.09,5.74,85.12,1.19,3.13,7.39,2.06,2021-06-30 12:00:00
170.23,0.08,4.58,89.41,1.01,3.34,7.94,1.85,2021-06-30 13:00:00
168.56,0.11,4.41,90.12,0.98,3.55,8.53,1.76,2021-06-30 14:00:00
168.56,0.17,4.76,89.41,1.04,3.75,9.1,1.73,2021-06-30 15:00:00
168.56,0.18,5.27,88.69,1.03,3.96,9.62,1.71,2021-06-30 16:00:00
170.23,0.11,5.91,87.98,1.07,4.25,10.37,1.84,2021-06-30 17:00:00
173.57,0.04,6.34,87.26,1.21,4.54,11.02,1.96,2021-06-30 18:00:00
181.91,0.03,8.4,85.12,1.57,4.93,11.82,2.5,2021-06-30 19:00:00
190.26,0.0,10.63,80.82,1.88,5.28,12.49,2.98,2021-06-30 20:00:00
193.6,0.0,11.48,77.25,1.89,5.48,12.98,2.98,2021-06-30 21:00:00
191.93,0.0,11.82,74.39,1.88,5.59,13.33,2.91,2021-06-30 22:00:00
188.59,0.0,11.14,71.53,1.71,5.66,13.61,2.85,2021-06-30 23:00:00
186.92,0.0,9.85,69.38,1.28,5.7,13.97,2.72,2021-07-01 00:00:00
181.91,0.0,9.08,50.78,0.5,5.81,14.09,2.06,2021-07-01 01:00:00
176.91,0.0,8.91,31.11,0.18,5.88,14.14,2.31,2021-07-01 02:00:00
171.9,0.02,9.0,20.56,0.13,5.91,14.49,3.1,2021-07-01 03:00:00
170.23,0.1,10.11,13.95,0.11,5.95,14.99,3.52,2021-07-01 04:00:00
178.58,1.23,14.91,5.5,0.13,6.28,15.57,2.57,2021-07-01 05:00:00
200.27,6.76,19.88,1.97,0.16,6.95,16.31,2.31,2021-07-01 06:00:00
173.57,0.17,8.31,70.1,0.45,5.43,13.26,1.73,2021-07-01 07:00:00
180.24,0.38,9.77,72.24,0.64,5.62,13.16,2.79,2021-07-01 08:00:00
190.26,0.73,12.17,73.67,0.95,6.04,13.81,4.05,2021-07-01 09:00:00
183.58,0.76,8.57,88.69,1.04,5.44,11.79,3.23,2021-07-01 10:00:00
175.24,0.45,4.88,103.0,1.0,4.98,10.48,2.34,2021-07-01 11:00:00
170.23,0.37,3.6,107.29,1.0,4.98,10.3,1.96,2021-07-01 12:00:00
166.89,0.34,3.21,105.86,0.91,4.95,9.81,1.84,2021-07-01 13:00:00
166.89,0.37,2.91,104.43,0.77,4.77,8.99,1.82,2021-07-01 14:00:00
165.22,0.45,2.91,103.0,0.7,4.66,8.48,1.85,2021-07-01 15:00:00
166.89,0.55,3.43,101.57,0.64,4.76,8.61,2.03,2021-07-01 16:00:00
170.23,0.61,4.37,98.71,0.68,5.05,9.43,2.34,2021-07-01 17:00:00
173.57,0.48,5.18,92.98,0.73,5.27,10.18,2.5,2021-07-01 18:00:00
180.24,0.21,7.97,85.83,0.9,5.69,11.56,3.29,2021-07-01 19:00:00
186.92,0.0,10.28,77.96,0.97,6.14,12.9,4.05,2021-07-01 20:00:00
188.59,0.0,10.63,72.96,0.81,6.33,13.51,3.86,2021-07-01 21:00:00
195.27,0.0,14.91,52.93,0.45,6.66,13.87,3.23,2021-07-01 22:00:00
195.27,0.0,16.79,33.26,0.21,6.89,14.07,2.76,2021-07-01 23:00:00
186.92,0.01,14.57,25.39,0.13,6.89,14.09,3.52,2021-07-02 00:00:00
176.91,0.01,12.17,23.25,0.12,6.74,14.0,5.45,2021-07-02 01:00:00
168.56,0.01,11.31,22.89,0.13,6.63,14.0,7.98,2021-07-02 02:00:00
163.56,0.01,11.31,23.6,0.15,6.54,14.04,11.53,2021-07-02 03:00:00
163.56,0.02,12.68,23.6,0.18,6.5,14.03,14.31,2021-07-02 04:00:00
173.57,0.24,18.51,15.38,0.18,6.82,14.31,10.51,2021-07-02 05:00:00
195.27,3.97,25.71,7.69,0.2,7.5,15.01,7.92,2021-07-02 06:00:00
178.58,0.85,10.28,65.8,0.35,6.15,13.24,3.36,2021-07-02 07:00:00
188.59,1.72,10.71,80.11,0.54,6.18,12.43,4.43,2021-07-02 08:00:00
208.62,2.32,12.68,108.72,1.25,7.29,13.77,6.71,2021-07-02 09:00:00
191.93,1.19,7.03,133.04,2.12,6.82,11.7,4.24,2021-07-02 10:00:00
186.92,0.69,4.76,153.07,2.77,7.48,12.63,3.58,2021-07-02 11:00:00
181.91,0.47,3.38,158.79,2.71,7.66,13.68,3.07,2021-07-02 12:00:00
176.91,0.42,2.91,148.77,1.94,6.97,13.87,2.72,2021-07-02 13:00:00
173.57,0.43,2.79,134.47,1.31,6.15,13.21,2.44,2021-07-02 14:00:00
171.9,0.5,3.04,123.02,1.06,5.64,12.55,2.25,2021-07-02 15:00:00
171.9,0.63,4.03,118.73,0.98,5.46,13.7,2.53,2021-07-02 16:00:00
173.57,0.68,5.06,113.01,0.93,5.49,17.42,2.91,2021-07-02 17:00:00
175.24,0.52,5.74,103.0,0.86,5.87,23.65,3.07,2021-07-02 18:00:00
185.25,0.26,9.94,89.41,1.07,6.38,24.67,4.56,2021-07-02 19:00:00
195.27,0.01,13.54,76.53,1.16,6.54,22.04,5.95,2021-07-02 20:00:00
200.27,0.0,14.57,67.95,0.98,6.65,21.26,6.4,2021-07-02 21:00:00
206.95,0.0,16.97,58.65,0.85,6.85,20.47,7.28,2021-07-02 22:00:00
208.62,0.0,17.99,49.35,0.75,6.99,19.92,8.23,2021-07-02 23:00:00
205.28,0.0,16.62,43.99,0.56,7.0,20.52,8.11,2021-07-03 00:00:00
200.27,0.0,14.74,40.41,0.35,6.94,21.95,7.6,2021-07-03 01:00:00
195.27,0.0,13.54,36.84,0.23,6.9,23.44,7.47,2021-07-03 02:00:00
191.93,0.0,13.54,33.98,0.2,6.94,25.0,7.79,2021-07-03 03:00:00
188.59,0.0,13.88,31.47,0.21,7.0,26.65,7.6,2021-07-03 04:00:00
186.92,0.02,15.25,29.33,0.22,7.15,28.85,6.33,2021-07-03 05:00:00
181.91,0.3,16.28,32.54,0.22,7.26,32.04,4.88,2021-07-03 06:00:00
170.23,0.46,9.51,62.23,0.24,8.15,40.68,2.79,2021-07-03 07:00:00
170.23,1.2,8.65,68.67,0.28,8.37,40.13,3.23,2021-07-03 08:00:00
173.57,1.36,6.94,83.69,0.38,8.19,36.43,3.71,2021-07-03 09:00:00
166.89,0.52,3.26,103.0,0.47,7.42,28.73,2.69,2021-07-03 10:00:00
165.22,0.29,2.64,104.43,0.56,7.06,26.59,2.44,2021-07-03 11:00:00
163.56,0.21,3.0,100.14,0.68,7.08,28.62,2.34,2021-07-03 12:00:00
163.56,0.16,3.09,97.28,0.78,7.07,29.83,2.25,2021-07-03 13:00:00
165.22,0.18,3.56,100.14,0.95,7.43,31.29,2.38,2021-07-03 14:00:00
166.89,0.22,4.5,101.57,1.19,7.72,31.46,2.47,2021-07-03 15:00:00
170.23,0.38,6.08,100.14,1.54,8.3,31.91,2.66,2021-07-03 16:00:00
175.24,0.59,7.54,101.57,2.24,9.0,32.72,2.82,2021-07-03 17:00:00
171.9,0.48,7.45,100.14,2.74,9.29,31.84,2.28,2021-07-03 18:00:00
166.89,0.11,5.91,92.98,2.09,9.25,30.37,1.52,2021-07-03 19:00:00
165.22,0.0,4.37,85.12,1.22,9.13,29.1,1.2,2021-07-03 20:00:00
165.22,0.0,3.43,81.54,0.7,8.94,28.43,1.03,2021-07-03 21:00:00
165.22,0.0,5.91,61.51,0.33,9.04,28.23,1.49,2021-07-03 22:00:00
160.22,0.0,7.8,40.05,0.16,9.18,28.44,2.01,2021-07-03 23:00:00
153.54,0.0,7.97,27.9,0.12,9.25,29.27,2.82,2021-07-04 00:00:00
146.87,0.01,7.88,20.92,0.12,9.32,30.11,4.31,2021-07-04 01:00:00
138.52,0.02,7.63,16.81,0.12,9.44,30.93,5.7,2021-07-04 02:00:00
131.85,0.04,7.45,14.66,0.12,9.54,31.69,7.28,2021-07-04 03:00:00
126.84,0.08,7.88,12.88,0.11,9.67,32.06,7.85,2021-07-04 04:00:00
133.51,0.64,11.65,7.06,0.12,9.96,31.36,5.45,2021-07-04 05:00:00
151.87,4.58,16.11,4.02,0.14,10.48,30.51,4.62,2021-07-04 06:00:00
171.9,0.28,6.17,69.38,0.43,7.89,18.68,2.66,2021-07-04 07:00:00
176.91,0.45,6.17,75.82,0.49,7.89,17.58,3.23,2021-07-04 08:00:00
180.24,0.57,6.26,85.83,0.54,8.39,18.43,3.96,2021-07-04 09:00:00
185.25,0.32,6.26,90.84,0.73,7.74,15.32,4.31,2021-07-04 10:00:00
190.26,0.36,7.8,97.28,1.7,7.99,14.63,4.62,2021-07-04 11:00:00
188.59,0.29,7.63,105.86,2.65,8.72,15.52,3.8,2021-07-04 12:00:00
180.24,0.17,4.76,107.29,2.24,9.09,16.48,2.34,2021-07-04 13:00:00
175.24,0.11,2.36,90.12,1.13,7.27,12.63,1.62,2021-07-04 14:00:00
176.91,0.09,1.36,67.95,0.41,3.67,5.84,1.27,2021-07-04 15:00:00
178.58,0.11,1.32,67.23,0.26,2.85,4.31,1.0,2021-07-04 16:00:00
180.24,0.12,1.46,66.52,0.26,2.73,4.1,0.91,2021-07-04 17:00:00
180.24,0.1,1.54,63.66,0.28,2.62,3.93,0.93,2021-07-04 18:00:00
180.24,0.04,1.84,59.37,0.26,2.58,3.86,0.99,2021-07-04 19:00:00
181.91,0.0,2.36,56.51,0.26,2.75,4.14,1.11,2021-07-04 20:00:00
183.58,0.0,2.87,54.36,0.26,2.87,4.3,1.19,2021-07-04 21:00:00
185.25,0.0,3.9,50.07,0.24,2.98,4.46,1.43,2021-07-04 22:00:00
185.25,0.0,5.31,44.35,0.22,3.13,4.72,1.62,2021-07-04 23:00:00
185.25,0.0,6.51,38.62,0.23,3.25,4.94,1.87,2021-07-05 00:00:00
183.58,0.0,7.45,30.04,0.19,3.48,5.33,2.12,2021-07-05 01:00:00
178.58,0.01,7.2,21.28,0.13,3.64,5.62,1.96,2021-07-05 02:00:00
171.9,0.02,6.34,16.45,0.09,3.64,5.6,1.79,2021-07-05 03:00:00
166.89,0.04,5.74,15.2,0.09,3.47,5.35,1.76,2021-07-05 04:00:00
170.23,0.13,7.71,14.66,0.13,3.32,5.09,2.06,2021-07-05 05:00:00
178.58,1.75,10.71,16.99,0.2,3.35,5.03,2.66,2021-07-05 06:00:00
175.24,0.69,4.41,55.79,0.48,2.18,3.53,1.47,2021-07-05 07:00:00
180.24,0.88,4.33,70.81,0.54,2.55,4.26,2.47,2021-07-05 08:00:00
191.93,0.98,5.1,94.41,0.76,3.6,5.95,3.8,2021-07-05 09:00:00
191.93,0.7,4.03,113.01,1.04,4.61,7.41,3.48,2021-07-05 10:00:00
196.93,0.55,3.56,130.18,1.58,6.02,9.44,3.45,2021-07-05 11:00:00
195.27,0.47,3.21,138.76,2.12,6.71,10.65,3.07,2021-07-05 12:00:00
191.93,0.46,3.13,137.33,2.38,6.36,10.31,2.76,2021-07-05 13:00:00
190.26,0.5,3.21,127.32,2.3,5.94,9.64,2.5,2021-07-05 14:00:00
190.26,0.59,3.6,115.87,2.24,6.45,10.16,2.34,2021-07-05 15:00:00
191.93,0.75,4.8,114.44,2.44,8.1,12.7,2.5,2021-07-05 16:00:00
196.93,0.86,6.51,111.58,2.71,9.66,15.32,2.79,2021-07-05 17:00:00
198.6,0.73,8.14,100.14,2.77,10.63,16.95,2.85,2021-07-05 18:00:00
206.95,0.36,13.54,81.54,3.28,11.91,19.22,3.48,2021-07-05 19:00:00
216.96,0.01,18.85,62.94,3.31,13.09,21.22,3.48,2021-07-05 20:00:00
223.64,0.0,20.74,51.5,2.62,14.07,22.93,3.36,2021-07-05 21:00:00
223.64,0.0,21.76,36.48,1.49,14.83,23.79,3.23,2021-07-05 22:00:00
220.3,0.01,20.56,23.6,0.78,14.8,23.89,2.72,2021-07-05 23:00:00
210.29,0.01,16.79,20.03,0.51,14.73,24.25,2.5,2021-07-06 00:00:00
198.6,0.01,13.37,21.1,0.35,14.67,24.67,2.38,2021-07-06 01:00:00
193.6,0.01,11.31,22.17,0.23,14.84,25.41,2.12,2021-07-06 02:00:00
193.6,0.01,10.71,25.39,0.18,15.22,26.42,1.93,2021-07-06 03:00:00
198.6,0.0,6.08,73.67,0.48,16.96,29.88,1.96,2021-07-06 04:00:00
198.6,0.0,6.94,71.53,0.5,16.34,28.92,2.06,2021-07-06 05:00:00
200.27,0.21,9.0,67.23,0.51,15.4,27.33,2.28,2021-07-06 06:00:00
205.28,1.01,10.28,66.52,0.63,14.08,25.02,2.82,2021-07-06 07:00:00
213.62,1.96,12.51,70.1,1.16,12.95,23.36,3.99,2021-07-06 08:00:00
216.96,2.4,14.22,81.54,2.5,12.37,23.26,4.69,2021-07-06 09:00:00
203.61,1.4,9.25,97.28,3.16,9.8,18.58,3.29,2021-07-06 10:00:00
191.93,0.49,4.16,105.86,2.35,7.84,14.57,1.76,2021-07-06 11:00:00
185.25,0.21,2.01,100.14,1.31,6.79,12.2,1.06,2021-07-06 12:00:00
185.25,0.14,1.5,92.98,0.81,6.57,11.21,0.82,2021-07-06 13:00:00
183.58,0.11,1.5,89.41,0.65,7.48,11.89,0.71,2021-07-06 14:00:00
183.58,0.09,1.71,87.26,0.58,7.81,12.02,0.7,2021-07-06 15:00:00
183.58,0.12,1.89,84.4,0.5,7.04,10.72,0.78,2021-07-06 16:00:00
185.25,0.17,1.93,83.69,0.43,6.21,9.4,0.96,2021-07-06 17:00:00
185.25,0.15,1.97,81.54,0.38,5.53,8.25,1.12,2021-07-06 18:00:00
186.92,0.06,2.49,75.82,0.3,4.91,7.19,1.35,2021-07-06 19:00:00
186.92,0.0,3.21,68.67,0.23,4.49,6.48,1.58,2021-07-06 20:00:00
185.25,0.0,3.9,62.94,0.2,4.26,6.07,1.73,2021-07-06 21:00:00
183.58,0.0,4.28,58.65,0.17,4.08,5.79,1.87,2021-07-06 22:00:00
181.91,0.0,4.24,55.08,0.14,3.92,5.56,1.98,2021-07-06 23:00:00
178.58,0.0,3.77,50.78,0.11,3.72,5.24,2.01,2021-07-07 00:00:00
173.57,0.0,3.04,47.92,0.09,3.39,4.7,2.06,2021-07-07 01:00:00
171.9,0.0,2.68,47.21,0.09,3.19,4.36,2.28,2021-07-07 02:00:00
171.9,0.0,2.7,46.49,0.09,3.17,4.43,2.5,2021-07-07 03:00:00
173.57,0.0,2.83,47.21,0.1,3.26,4.52,2.47,2021-07-07 04:00:00
178.58,0.0,3.68,48.64,0.12,3.53,4.72,2.47,2021-07-07 05:00:00
181.91,0.03,4.97,50.78,0.13,3.68,4.67,2.38,2021-07-07 06:00:00
171.9,0.09,3.98,62.94,0.08,1.89,2.41,1.63,2021-07-07 07:00:00
168.56,0.14,3.26,67.95,0.05,0.94,1.27,1.33,2021-07-07 08:00:00
168.56,0.16,2.64,71.53,0.05,0.59,0.83,1.16,2021-07-07 09:00:00
171.9,0.18,2.19,77.96,0.13,0.5,0.69,1.24,2021-07-07 10:00:00
175.24,0.31,2.7,87.98,0.39,0.51,0.73,1.79,2021-07-07 11:00:00
176.91,0.42,3.13,100.14,0.75,0.76,1.07,2.12,2021-07-07 12:00:00
178.58,0.39,2.74,107.29,0.86,1.04,1.51,2.06,2021-07-07 13:00:00
176.91,0.37,2.55,108.72,0.85,1.41,2.07,2.01,2021-07-07 14:00:00
178.58,0.41,2.83,107.29,0.92,2.03,2.87,2.12,2021-07-07 15:00:00
183.58,0.52,3.68,107.29,1.04,2.81,3.87,2.44,2021-07-07 16:00:00
190.26,0.59,4.88,104.43,1.19,3.48,4.82,2.82,2021-07-07 17:00:00
193.6,0.5,6.0,95.84,1.31,3.71,5.25,3.07,2021-07-07 18:00:00
198.6,0.21,9.0,84.4,1.7,3.81,5.68,3.52,2021-07-07 19:00:00
203.61,0.0,12.34,72.96,2.41,3.99,6.25,3.8,2021-07-07 20:00:00
200.27,0.0,11.82,69.38,2.68,4.03,6.51,2.98,2021-07-07 21:00:00
193.6,0.0,9.17,67.23,1.91,3.92,6.45,1.95,2021-07-07 22:00:00
188.59,0.0,6.86,60.8,1.03,3.75,6.32,1.52,2021-07-07 23:00:00
183.58,0.0,4.97,55.08,0.54,3.54,6.07,1.31,2021-07-08 00:00:00
180.24,0.0,4.07,50.78,0.35,3.4,5.81,1.25,2021-07-08 01:00:00
181.91,0.0,3.81,50.07,0.32,3.38,5.65,1.17,2021-07-08 02:00:00
185.25,0.0,4.58,53.64,0.53,3.49,5.63,1.25,2021-07-08 03:00:00
188.59,0.0,6.43,57.22,1.36,3.76,5.97,1.47,2021-07-08 04:00:00
195.27,0.0,8.65,52.21,1.58,4.49,7.37,1.66,2021-07-08 05:00:00
200.27,0.33,10.63,44.7,1.25,4.69,7.8,2.47,2021-07-08 06:00:00
191.93,1.34,9.51,41.84,0.71,3.69,6.19,4.02,2021-07-08 07:00:00
178.58,1.82,7.45,47.21,0.34,2.45,4.23,5.57,2021-07-08 08:00:00
168.56,1.48,5.66,60.08,0.21,1.76,3.04,6.08,2021-07-08 09:00:00
158.55,0.59,2.59,76.53,0.21,1.03,1.7,4.02,2021-07-08 10:00:00
158.55,0.48,2.25,85.83,0.39,1.09,1.68,3.48,2021-07-08 11:00:00
165.22,0.48,2.55,95.84,0.81,1.65,2.45,3.61,2021-07-08 12:00:00
173.57,0.46,2.79,107.29,1.34,2.66,3.91,3.33,2021-07-08 13:00:00
180.24,0.48,3.0,115.87,1.8,4.04,6.03,2.79,2021-07-08 14:00:00
180.24,0.48,2.91,113.01,1.91,4.7,7.19,2.09,2021-07-08 15:00:00
178.58,0.42,2.91,103.0,1.68,4.51,7.23,1.62,2021-07-08 16:00:00
175.24,0.27,3.17,90.84,1.45,4.23,7.18,1.38,2021-07-08 17:00:00
171.9,0.09,3.0,80.82,1.18,4.03,7.25,1.14,2021-07-08 18:00:00
166.89,0.01,2.46,75.1,0.88,3.68,6.8,0.93,2021-07-08 19:00:00
165.22,0.0,2.49,72.24,0.81,3.26,6.14,0.9,2021-07-08 20:00:00
165.22,0.0,2.79,71.53,0.87,3.01,5.75,0.93,2021-07-08 21:00:00
166.89,0.0,4.16,66.52,0.94,2.97,5.72,1.35,2021-07-08 22:00:00
168.56,0.0,5.91,59.37,1.07,3.12,6.08,1.87,2021-07-08 23:00:00
170.23,0.0,7.11,53.64,1.15,3.3,6.46,2.15,2021-07-09 00:00:00
170.23,0.0,8.65,47.92,1.13,3.48,6.84,2.53,2021-07-09 01:00:00
171.9,0.0,10.45,42.56,1.09,3.65,7.23,2.85,2021-07-09 02:00:00
173.57,0.0,11.82,38.98,0.97,3.76,7.59,3.04,2021-07-09 03:00:00
175.24,0.0,12.68,36.84,0.75,3.69,7.64,3.01,2021-07-09 04:00:00
178.58,0.01,14.05,35.41,0.51,3.41,7.2,2.69,2021-07-09 05:00:00
176.91,0.49,13.71,39.7,0.38,2.88,6.16,2.44,2021-07-09 06:00:00
163.56,0.66,5.83,59.37,0.41,1.97,4.64,2.22,2021-07-09 07:00:00
165.22,0.94,4.93,65.09,0.51,1.99,4.61,2.34,2021-07-09 08:00:00
165.22,0.7,3.26,74.39,0.54,2.15,4.83,1.84,2021-07-09 09:00:00
161.89,0.38,1.93,83.69,0.52,2.24,5.02,1.35,2021-07-09 10:00:00
161.89,0.29,1.59,90.12,0.51,2.51,5.61,1.36,2021-07-09 11:00:00
163.56,0.27,1.52,95.84,0.52,2.92,6.44,1.49,2021-07-09 12:00:00
163.56,0.27,1.56,100.14,0.53,3.23,6.86,1.66,2021-07-09 13:00:00
161.89,0.31,1.78,98.71,0.63,3.59,7.55,1.69,2021-07-09 14:00:00
161.89,0.4,2.19,94.41,0.75,3.96,8.16,1.58,2021-07-09 15:00:00
161.89,0.52,2.83,91.55,0.84,4.36,8.46,1.65,2021-07-09 16:00:00
163.56,0.59,3.73,88.69,0.98,4.61,8.56,1.93,2021-07-09 17:00:00
166.89,0.52,5.01,84.4,1.27,4.62,8.6,2.19,2021-07-09 18:00:00
175.24,0.3,10.03,71.53,1.65,4.75,8.93,3.33,2021-07-09 19:00:00
183.58,0.01,15.08,57.22,1.79,5.03,9.46,3.99,2021-07-09 20:00:00
190.26,0.0,18.34,47.92,1.76,5.34,10.03,3.77,2021-07-09 21:00:00
190.26,0.0,20.05,41.13,1.64,5.55,10.56,3.77,2021-07-09 22:00:00
186.92,0.0,18.68,36.12,1.39,5.65,11.01,3.1,2021-07-09 23:00:00
180.24,0.0,15.42,32.19,1.06,5.74,11.46,2.57,2021-07-10 00:00:00
140.19,0.0,4.5,26.82,0.2,4.76,10.27,11.15,2021-07-10 01:00:00
135.18,0.0,4.07,25.39,0.19,4.72,10.64,13.3,2021-07-10 02:00:00
130.18,0.0,3.6,23.6,0.18,4.73,11.05,12.67,2021-07-10 03:00:00
130.18,0.0,3.17,23.6,0.17,4.69,11.38,9.63,2021-07-10 04:00:00
131.85,0.0,3.0,23.96,0.16,4.63,11.64,6.97,2021-07-10 05:00:00
136.85,0.18,2.79,29.33,0.18,4.62,11.7,5.38,2021-07-10 06:00:00
146.87,0.2,1.46,55.79,0.28,4.38,10.08,2.66,2021-07-10 07:00:00
146.87,0.2,1.08,64.37,0.26,3.97,8.59,2.22,2021-07-10 08:00:00
146.87,0.18,0.93,73.67,0.24,3.63,7.55,2.01,2021-07-10 09:00:00
148.54,0.09,0.47,82.97,0.23,2.81,5.46,1.35,2021-07-10 10:00:00
148.54,0.07,0.4,87.26,0.29,2.74,5.27,1.3,2021-07-10 11:00:00
146.87,0.08,0.46,92.98,0.47,2.9,5.52,1.2,2021-07-10 12:00:00
148.54,0.08,0.49,95.84,0.53,3.08,5.79,0.94,2021-07-10 13:00:00
148.54,0.08,0.49,94.41,0.43,3.02,5.73,0.87,2021-07-10 14:00:00
146.87,0.08,0.53,91.55,0.36,2.7,5.15,0.88,2021-07-10 15:00:00
145.2,0.09,0.66,89.41,0.33,2.55,4.75,0.95,2021-07-10 16:00:00
145.2,0.11,0.85,87.26,0.35,2.64,4.92,1.09,2021-07-10 17:00:00
145.2,0.09,1.03,83.69,0.37,2.79,5.38,1.16,2021-07-10 18:00:00
145.2,0.04,1.5,75.82,0.35,2.87,5.56,1.66,2021-07-10 19:00:00
146.87,0.0,2.27,66.52,0.3,3.03,5.74,2.41,2021-07-10 20:00:00
150.2,0.0,2.96,59.37,0.24,3.28,6.12,3.2,2021-07-10 21:00:00
150.2,0.0,3.64,45.06,0.14,3.52,6.59,4.88,2021-07-10 22:00:00
146.87,0.0,4.16,32.19,0.11,3.68,7.02,6.33,2021-07-10 23:00:00
140.19,0.0,3.98,25.75,0.1,3.69,7.27,7.22,2021-07-11 00:00:00
131.85,0.0,3.34,23.25,0.09,3.65,7.4,7.79,2021-07-11 01:00:00
126.84,0.0,2.66,22.35,0.08,3.63,7.4,6.65,2021-07-11 02:00:00
126.84,0.0,2.1,25.39,0.08,3.62,7.28,4.56,2021-07-11 03:00:00
135.18,0.0,1.8,37.19,0.16,3.59,7.25,3.07,2021-07-11 04:00:00
138.52,0.0,1.91,39.34,0.23,3.61,7.52,3.23,2021-07-11 05:00:00
138.52,0.13,2.53,37.55,0.31,3.81,8.19,4.12,2021-07-11 06:00:00
141.86,0.53,3.09,40.41,0.54,4.32,9.47,4.75,2021-07-11 07:00:00
150.2,0.8,4.03,56.51,1.0,5.6,12.12,4.02,2021-07-11 08:00:00
