CountryOrTerritory;Namespace;Network;ResponsibleParty;TimeZone;StationName;EoICode;StationType;StationArea;Pollutant;SamplingPointId;Latitude;Longitude;Altitudee;MeasurementRegime;OperationalActivityBegin;OperationalActivityEnd;Sample;SamplingProcess;MeasurementEquipment;MeasurementMethod;SamplingEquipment;AnalyticalTechnique;envelope
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (Sants);ES1396A;Background;Urban;trans-2-Butene (air);SP_08019042_409_M;41.3788028;2.133098078;35;Continuous data collection;2011-01-01T00:00:00Z;2011-12-31T00:00:00Z;SAM_08019042_409_M;SPP_08019042_409_M.1;;;;GC-MS type;http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (Palau Reial);ES1992A;Background;Urban;Nitrogen monoxide (air);SP_08019057_7_8;41.38748464;2.115149666;81;Continuous data collection;2011-03-17T00:00:00Z;;SAM_08019057_7_8;SPP_08019057_7_8.1;Thermo model 42 NO/Nox analyser;Chemiluminescence;;;http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (el Poblenou);ES0691A;Background;Urban;Cadmium in PM10 (aerosol);SP_08019004_28_M;41.40388185;2.204522594;3;Continuous data collection;2012-01-01T00:00:00Z;2012-12-31T00:00:00Z;SAM_08019004_28_M;SPP_08019004_28_M.3;;;;Inductive coupled plasma atomic emission spectrometry (ICP-AES);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (el Poblenou);ES0691A;Background;Urban;Cadmium in PM10 (aerosol);SP_08019004_28_M;41.40388185;2.204522594;3;Continuous data collection;2007-05-01T00:00:00Z;2008-12-31T00:00:00Z;SAM_08019004_28_M;SPP_08019004_28_M.1;;;;Atomic absorption spectrometry (AAS);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (Sants);ES1396A;Background;Urban;o-Xylene (air);SP_08019042_39_M;41.3788028;2.133098078;35;Continuous data collection;2012-01-01T00:00:00Z;;SAM_08019042_39_M;SPP_08019042_39_M.2;;;;Gas chromatography + mass spectrometry (GC-MS);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (l'Eixample);ES1438A;Traffic;Urban;Lead in PM10 (aerosol);SP_08019043_19_M;41.38534328;2.15382196;26;Continuous data collection;2012-01-01T00:00:00Z;2012-12-31T00:00:00Z;SAM_08019043_19_M;SPP_08019043_19_M.3;;;;Inductive coupled plasma atomic emission spectrometry (ICP-AES);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (l'Eixample);ES1438A;Traffic;Urban;Benzo(a)pyrene in PM10 (aerosol);SP_08019043_27_M;41.38534328;2.15382196;26;Continuous data collection;2009-01-01T00:00:00Z;2009-04-01T00:00:00Z;SAM_08019043_27_M;SPP_08019043_27_M.1;;;;Gas chromatography + mass spectrometry (GC-MS);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (l'Eixample);ES1438A;Traffic;Urban;Cadmium in PM10 (aerosol);SP_08019043_28_M;41.38534328;2.15382196;26;Continuous data collection;2013-01-01T00:00:00Z;;SAM_08019043_28_M;SPP_08019043_28_M.4;;;;Inductive coupled plasma atomic emission spectrometry (ICP-AES);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (el Poblenou);ES0691A;Background;Urban;Benzo(a)pyrene in PM10 (aerosol);SP_08019004_27_M;41.40388185;2.204522594;3;Continuous data collection;2009-01-01T00:00:00Z;2009-11-01T00:00:00Z;SAM_08019004_27_M;SPP_08019004_27_M.1;;;;Gas chromatography + mass spectrometry (GC-MS);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (el Poblenou);ES0691A;Background;Urban;Nickel in PM10 (aerosol);SP_08019004_62_M;41.40388185;2.204522594;3;Continuous data collection;2007-05-01T00:00:00Z;2008-12-31T00:00:00Z;SAM_08019004_62_M;SPP_08019004_62_M.1;;;;Atomic absorption spectrometry (AAS);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (pl. de la Universitat);ES0559A;Traffic;Urban;Particulate matter < 2.5 µm (aerosol);SP_08019028_9_M;41.38742396;2.164918317;24;Continuous data collection;2010-01-01T00:00:00Z;;SAM_08019028_9_M;SPP_08019028_9_M.1;;;;Gravimetric analysis;http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
