CountryOrTerritory;Namespace;Network;ResponsibleParty;TimeZone;StationName;EoICode;StationType;StationArea;Pollutant;SamplingPointId;Latitude;Longitude;Altitudee;MeasurementRegime;OperationalActivityBegin;OperationalActivityEnd;Sample;SamplingProcess;MeasurementEquipment;MeasurementMethod;SamplingEquipment;AnalyticalTechnique;envelope
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (pl. de la Universitat);ES0559A;Traffic;Urban;Benzo(a)pyrene in PM10 (aerosol);SP_08019028_27_M;41.38742396;2.164918317;24;Continuous data collection;2010-01-01T00:00:00Z;;SAM_08019028_27_M;SPP_08019028_27_M.2;;;;High performance liquid chromatography - fluorescence detection (HPLC-FLD);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (IES Verdaguer);ES1900A;Background;Urban;Benzo(a)pyrene in PM10 (aerosol);SP_08019055_27_M;41.38723783;2.186736695;7;Continuous data collection;2010-01-01T00:00:00Z;;SAM_08019055_27_M;SPP_08019055_27_M.2;;;;High performance liquid chromatography - fluorescence detection (HPLC-FLD);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (Gràcia - Sant Gervasi);ES1480A;Traffic;Urban;Nickel in PM10 (aerosol);SP_08019044_62_M;41.39874325;2.153385124;57;Continuous data collection;2012-01-01T00:00:00Z;2012-12-31T00:00:00Z;SAM_08019044_62_M;SPP_08019044_62_M.3;;;;Inductive coupled plasma atomic emission spectrometry (ICP-AES);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (IES Goya);ES1852A;Background;Suburban;Benzo(a)pyrene in PM10 (aerosol);SP_08019053_27_M;41.42068447;2.170571748;2;Continuous data collection;2010-01-01T00:00:00Z;;SAM_08019053_27_M;SPP_08019053_27_M.2;;;;High performance liquid chromatography - fluorescence detection (HPLC-FLD);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (Gràcia - Sant Gervasi);ES1480A;Traffic;Urban;Lead in PM10 (aerosol);SP_08019044_19_M;41.39874325;2.153385124;57;Continuous data collection;2009-01-01T00:00:00Z;2011-12-31T00:00:00Z;SAM_08019044_19_M;SPP_08019044_19_M.2;;;;Inductive coupled plasma atomic emission spectrometry (ICP-AES);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (parc de la Vall d'Hebron);ES1856A;Background;Urban;Benzo(a)pyrene in PM10 (aerosol);SP_08019054_27_M;41.4260772;2.147992032;136;Continuous data collection;2008-01-01T00:00:00Z;2009-11-01T00:00:00Z;SAM_08019054_27_M;SPP_08019054_27_M.1;;;;Gas chromatography + mass spectrometry (GC-MS);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (pl. de la Universitat);ES0559A;Traffic;Urban;Arsenic in PM10 (aerosol);SP_08019028_17_M;41.38742396;2.164918317;24;Continuous data collection;2012-01-01T00:00:00Z;2012-12-31T00:00:00Z;SAM_08019028_17_M;SPP_08019028_17_M.3;;;;Inductive coupled plasma atomic emission spectrometry (ICP-AES);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (Gràcia - Sant Gervasi);ES1480A;Traffic;Urban;Arsenic in PM10 (aerosol);SP_08019044_17_M;41.39874325;2.153385124;57;Continuous data collection;2013-01-01T00:00:00Z;;SAM_08019044_17_M;SPP_08019044_17_M.4;;;;Inductive coupled plasma atomic emission spectrometry (ICP-AES);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (Gràcia - Sant Gervasi);ES1480A;Traffic;Urban;Nickel in PM10 (aerosol);SP_08019044_62_M;41.39874325;2.153385124;57;Continuous data collection;2013-01-01T00:00:00Z;;SAM_08019044_62_M;SPP_08019044_62_M.4;;;;Inductive coupled plasma atomic emission spectrometry (ICP-AES);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (Sants);ES1396A;Background;Urban;Benzene (air);SP_08019042_30_M;41.3788028;2.133098078;35;Continuous data collection;2011-06-01T00:00:00Z;2011-12-31T00:00:00Z;SAM_08019042_30_M;SPP_08019042_30_M.1;;;;GC-MS type;http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (l'Eixample);ES1438A;Traffic;Urban;Ozone (air);SP_08019043_14_6;41.38534328;2.15382196;26;Continuous data collection;1996-01-01T00:00:00Z;;SAM_08019043_14_6;SPP_08019043_14_6.1;Unknown;Ultraviolet (UV) photometry;;;http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (l'Eixample);ES1438A;Traffic;Urban;Nitrogen monoxide (air);SP_08019043_7_8;41.38534328;2.15382196;26;Continuous data collection;1996-01-01T00:00:00Z;;SAM_08019043_7_8;SPP_08019043_7_8.1;Unknown;Chemiluminescence;;;http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (el Poblenou);ES0691A;Background;Urban;Particulate matter < 10 µm (aerosol);SP_08019004_10_M;41.40388185;2.204522594;3;Continuous data collection;2007-05-01T00:00:00Z;;SAM_08019004_10_M;SPP_08019004_10_M.1;;;;Gravimetric analysis;http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (Sants);ES1396A;Background;Urban;i-Butane (2-methylpropane) (air);SP_08019042_405_M;41.3788028;2.133098078;35;Continuous data collection;2011-01-01T00:00:00Z;2011-12-31T00:00:00Z;SAM_08019042_405_M;SPP_08019042_405_M.1;;;;GC-MS type;http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (Sants);ES1396A;Background;Urban;1-Pentene (air);SP_08019042_413_M;41.3788028;2.133098078;35;Continuous data collection;2011-01-01T00:00:00Z;2011-12-31T00:00:00Z;SAM_08019042_413_M;SPP_08019042_413_M.1;;;;GC-MS type;http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (Sants);ES1396A;Background;Urban;n-Heptane (air);SP_08019042_419_M;41.3788028;2.133098078;35;Continuous data collection;2011-01-01T00:00:00Z;2011-12-31T00:00:00Z;SAM_08019042_419_M;SPP_08019042_419_M.1;;;;GC-MS type;http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (parc de la Vall d'Hebron);ES1856A;Background;Urban;Nitrogen dioxide (air);SP_08019054_8_8;41.4260772;2.147992032;136;Continuous data collection;2007-12-31T00:00:00Z;;SAM_08019054_8_8;SPP_08019054_8_8.1;Unknown;Chemiluminescence;;;http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (IES Goya);ES1852A;Background;Suburban;Particulate matter < 10 µm (aerosol);SP_08019053_10_M;41.42068447;2.170571748;2;Continuous data collection;2007-10-01T00:00:00Z;;SAM_08019053_10_M;SPP_08019053_10_M.1;;;;Gravimetric analysis;http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (el Poblenou);ES0691A;Background;Urban;Nickel in PM10 (aerosol);SP_08019004_62_M;41.40388185;2.204522594;3;Continuous data collection;2012-01-01T00:00:00Z;2012-12-31T00:00:00Z;SAM_08019004_62_M;SPP_08019004_62_M.3;;;;Inductive coupled plasma atomic emission spectrometry (ICP-AES);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (Sants);ES1396A;Background;Urban;Toluene (air);SP_08019042_20_M;41.3788028;2.133098078;35;Continuous data collection;2011-01-01T00:00:00Z;2011-12-31T00:00:00Z;SAM_08019042_20_M;SPP_08019042_20_M.1;;;;High performance liquid chromatography - fluorescence detection (HPLC-FLD);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (Sants);ES1396A;Background;Urban;Cadmium in PM10 (aerosol);SP_08019042_28_M;41.3788028;2.133098078;35;Continuous data collection;2013-01-01T00:00:00Z;;SAM_08019042_28_M;SPP_08019042_28_M.4;;;;Inductive coupled plasma atomic emission spectrometry (ICP-AES);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (Palau Reial);ES1992A;Background;Urban;Sulphur dioxide (air);SP_08019057_1_38;41.38748464;2.115149666;81;Continuous data collection;2011-03-17T00:00:00Z;;SAM_08019057_1_38;SPP_08019057_1_38.1;Thermo model 43a SO2 analyser;UV fluorescence;;;http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (l'Eixample);ES1438A;Traffic;Urban;Cadmium in PM10 (aerosol);SP_08019043_28_M;41.38534328;2.15382196;26;Continuous data collection;2009-01-01T00:00:00Z;2011-12-31T00:00:00Z;SAM_08019043_28_M;SPP_08019043_28_M.2;;;;Inductive coupled plasma atomic emission spectrometry (ICP-AES);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (Zona Universitària);ES0567A;Background;Urban;Nickel in PM10 (aerosol);SP_08019045_62_M;41.38490638;2.119573944;24;Continuous data collection;2009-01-01T00:00:00Z;2011-12-31T00:00:00Z;SAM_08019045_62_M;SPP_08019045_62_M.2;;;;Inductive coupled plasma atomic emission spectrometry (ICP-AES);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (Zona Universitària);ES0567A;Background;Urban;Nickel in PM10 (aerosol);SP_08019045_62_M;41.38490638;2.119573944;24;Continuous data collection;2007-01-01T00:00:00Z;2008-12-31T00:00:00Z;SAM_08019045_62_M;SPP_08019045_62_M.1;;;;Atomic absorption spectrometry (AAS);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (Zona Universitària);ES0567A;Background;Urban;Nickel in PM10 (aerosol);SP_08019045_62_M;41.38490638;2.119573944;24;Continuous data collection;2013-01-01T00:00:00Z;;SAM_08019045_62_M;SPP_08019045_62_M.4;;;;Inductive coupled plasma atomic emission spectrometry (ICP-AES);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (Sants);ES1396A;Background;Urban;Nickel in PM10 (aerosol);SP_08019042_62_M;41.3788028;2.133098078;35;Continuous data collection;2013-01-01T00:00:00Z;;SAM_08019042_62_M;SPP_08019042_62_M.4;;;;Inductive coupled plasma atomic emission spectrometry (ICP-AES);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (IES Goya);ES1852A;Background;Suburban;Cadmium in PM10 (aerosol);SP_08019053_28_M;41.42068447;2.170571748;2;Continuous data collection;2008-07-01T00:00:00Z;2008-12-31T00:00:00Z;SAM_08019053_28_M;SPP_08019053_28_M.1;;;;Atomic absorption spectrometry (AAS);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (IES Goya);ES1852A;Background;Suburban;Nickel in PM10 (aerosol);SP_08019053_62_M;41.42068447;2.170571748;2;Continuous data collection;2010-01-01T00:00:00Z;2011-12-31T00:00:00Z;SAM_08019053_62_M;SPP_08019053_62_M.2;;;;Inductive coupled plasma atomic emission spectrometry (ICP-AES);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (parc de la Vall d'Hebron);ES1856A;Background;Urban;Benzene (air);SP_08019054_30_M;41.4260772;2.147992032;136;Continuous data collection;2007-12-31T00:00:00Z;;SAM_08019054_30_M;SPP_08019054_30_M.1;;;;GC-MS type;http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (IES Verdaguer);ES1900A;Background;Urban;Nickel in PM10 (aerosol);SP_08019055_62_M;41.38723783;2.186736695;7;Continuous data collection;2009-01-01T00:00:00Z;2011-12-31T00:00:00Z;SAM_08019055_62_M;SPP_08019055_62_M.1;;;;Inductive coupled plasma atomic emission spectrometry (ICP-AES);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (el Poblenou);ES0691A;Background;Urban;Lead in PM10 (aerosol);SP_08019004_19_M;41.40388185;2.204522594;3;Continuous data collection;2009-01-01T00:00:00Z;2011-12-31T00:00:00Z;SAM_08019004_19_M;SPP_08019004_19_M.2;;;;Inductive coupled plasma atomic emission spectrometry (ICP-AES);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (el Poblenou);ES0691A;Background;Urban;Nickel in PM10 (aerosol);SP_08019004_62_M;41.40388185;2.204522594;3;Continuous data collection;2009-01-01T00:00:00Z;2011-12-31T00:00:00Z;SAM_08019004_62_M;SPP_08019004_62_M.2;;;;Inductive coupled plasma atomic emission spectrometry (ICP-AES);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (IES Goya);ES1852A;Background;Suburban;Cadmium in PM10 (aerosol);SP_08019053_28_M;41.42068447;2.170571748;2;Continuous data collection;2013-01-01T00:00:00Z;;SAM_08019053_28_M;SPP_08019053_28_M.4;;;;Inductive coupled plasma atomic emission spectrometry (ICP-AES);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (Sants);ES1396A;Background;Urban;cis-2-Butene (air);SP_08019042_408_M;41.3788028;2.133098078;35;Continuous data collection;2012-01-01T00:00:00Z;;SAM_08019042_408_M;SPP_08019042_408_M.2;;;;Gas chromatography + mass spectrometry (GC-MS);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (l'Eixample);ES1438A;Traffic;Urban;Nickel in PM10 (aerosol);SP_08019043_62_M;41.38534328;2.15382196;26;Continuous data collection;2013-01-01T00:00:00Z;;SAM_08019043_62_M;SPP_08019043_62_M.4;;;;Inductive coupled plasma atomic emission spectrometry (ICP-AES);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (IES Goya);ES1852A;Background;Suburban;Arsenic in PM10 (aerosol);SP_08019053_17_M;41.42068447;2.170571748;2;Continuous data collection;2008-07-01T00:00:00Z;2008-12-31T00:00:00Z;SAM_08019053_17_M;SPP_08019053_17_M.1;;;;Atomic absorption spectrometry (AAS);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (parc de la Vall d'Hebron);ES1856A;Background;Urban;Lead in PM10 (aerosol);SP_08019054_19_M;41.4260772;2.147992032;136;Continuous data collection;2008-01-01T00:00:00Z;2008-12-31T00:00:00Z;SAM_08019054_19_M;SPP_08019054_19_M.1;;;;Atomic absorption spectrometry (AAS);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (Observatori Fabra);ES2090A;Background;Suburban;Nitrogen dioxide (air);SP_08019058_8_8;41.4184;2.1239;418;Continuous data collection;2018-03-09T00:00:00Z;;SAM_08019058_8_8;SPP_08019058_8_8.1;Thermo model 42i NO/Nox analyser;Chemiluminescence;;;http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (Sants);ES1396A;Background;Urban;Benzo(a)pyrene in PM10 (aerosol);SP_08019042_27_M;41.3788028;2.133098078;35;Continuous data collection;2009-01-01T00:00:00Z;2009-11-01T00:00:00Z;SAM_08019042_27_M;SPP_08019042_27_M.1;;;;Gas chromatography + mass spectrometry (GC-MS);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (Gràcia - Sant Gervasi);ES1480A;Traffic;Urban;Particulate matter < 10 µm (aerosol);SP_08019044_10_M;41.39874325;2.153385124;57;Continuous data collection;2000-01-01T00:00:00Z;;SAM_08019044_10_M;SPP_08019044_10_M.1;;;;Gravimetric analysis;http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (Zona Universitària);ES0567A;Background;Urban;Nickel in PM10 (aerosol);SP_08019045_62_M;41.38490638;2.119573944;24;Continuous data collection;2012-01-01T00:00:00Z;2012-12-31T00:00:00Z;SAM_08019045_62_M;SPP_08019045_62_M.3;;;;Inductive coupled plasma atomic emission spectrometry (ICP-AES);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (IES Goya);ES1852A;Background;Suburban;Arsenic in PM10 (aerosol);SP_08019053_17_M;41.42068447;2.170571748;2;Continuous data collection;2010-01-01T00:00:00Z;2011-12-31T00:00:00Z;SAM_08019053_17_M;SPP_08019053_17_M.2;;;;Inductive coupled plasma atomic emission spectrometry (ICP-AES);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (IES Verdaguer);ES1900A;Background;Urban;Nickel in PM10 (aerosol);SP_08019055_62_M;41.38723783;2.186736695;7;Continuous data collection;2012-01-01T00:00:00Z;2012-12-31T00:00:00Z;SAM_08019055_62_M;SPP_08019055_62_M.2;;;;Inductive coupled plasma atomic emission spectrometry (ICP-AES);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (el Poblenou);ES0691A;Background;Urban;Arsenic in PM10 (aerosol);SP_08019004_17_M;41.40388185;2.204522594;3;Continuous data collection;2007-05-01T00:00:00Z;2008-12-31T00:00:00Z;SAM_08019004_17_M;SPP_08019004_17_M.1;;;;Atomic absorption spectrometry (AAS);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (Zona Universitària);ES0567A;Background;Urban;Arsenic in PM10 (aerosol);SP_08019045_17_M;41.38490638;2.119573944;24;Continuous data collection;2009-01-01T00:00:00Z;2011-12-31T00:00:00Z;SAM_08019045_17_M;SPP_08019045_17_M.2;;;;Inductive coupled plasma atomic emission spectrometry (ICP-AES);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (Zona Universitària);ES0567A;Background;Urban;Cadmium in PM10 (aerosol);SP_08019045_28_M;41.38490638;2.119573944;24;Continuous data collection;2007-01-01T00:00:00Z;2008-12-31T00:00:00Z;SAM_08019045_28_M;SPP_08019045_28_M.1;;;;Atomic absorption spectrometry (AAS);http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (Palau Reial);ES1992A;Background;Urban;Carbon monoxide (air);SP_08019057_6_48;41.38748464;2.115149666;81;Continuous data collection;2011-03-17T00:00:00Z;;SAM_08019057_6_48;SPP_08019057_6_48.1;DASIBI 3008 CO analyser;Non-dispersive infrared spectroscopy (NDIR);;;http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain;ES.BDCA.AQD;CCAA Cataluña;DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA);UTC;Barcelona (Sants);ES1396A;Background;Urban;Nitrogen monoxide (air);SP_08019042_7_8;41.3788028;2.133098078;35;Continuous data collection;1995-01-01T00:00:00Z;;SAM_08019042_7_8;SPP_08019042_7_8.1;Unknown;Chemiluminescence;;;http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
